CURSO_ACADEMICO;LOCALIDAD;ESTUDIO;TIPO_ESTUDIO;TIPO_EGRESO;SEXO;ALUMNOS_GRADUADOS;ALUMNOS_INTERRUMPEN_ESTUDIOS;ALUMNOS_INTERRUMPEN_EST_ANO1;ALUMNOS_TRASLADAN_OTRA_UNIV;DURACION_MEDIA_GRADUADOS;TASA_EFICIENCIA;FECHA_ACTUALIZACION
2018;Teruel;Máster: Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport;Máster;Abandono Voluntario;Hombres;0;2;2;0;;;27/09/2020
2018;Teruel;Máster: Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport;Máster;Abandono Voluntario;Mujeres;0;1;0;0;;;27/09/2020
2018;Teruel;Máster: Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport;Máster;Graduado;Hombres;8;0;0;0;1.00;100.00;27/09/2020
2018;Teruel;Máster: Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport;Máster;Graduado;Mujeres;15;0;0;0;1.20;98.68;27/09/2020
2018;Teruel;Máster: Psicología General Sanitaria;Máster;Abandono Voluntario;Mujeres;0;2;0;0;;;27/09/2020
2018;Teruel;Máster: Psicología General Sanitaria;Máster;Graduado;Hombres;7;0;0;0;2.00;100.00;27/09/2020
2018;Teruel;Máster: Psicología General Sanitaria;Máster;Graduado;Mujeres;22;0;0;0;2.14;98.21;27/09/2020
2018;Teruel;Relaciones Laborales;Diplomatura o equivalente;Traslado a otra Universidad;Mujeres;0;0;0;1;;;27/09/2020
2018;Zaragoza;Biblioteconomía y Documentación;Diplomatura o equivalente;Traslado a otra Universidad;Hombres;0;0;0;1;;;27/09/2020
2018;Zaragoza;Derecho;Licenciatura o equivalente;Traslado a otra Universidad;Hombres;0;0;0;6;;;27/09/2020
2018;Zaragoza;Derecho;Licenciatura o equivalente;Traslado a otra Universidad;Mujeres;0;0;0;2;;;27/09/2020
2018;Zaragoza;Diplomado Ciencias Empresariales;Diplomatura o equivalente;Traslado a otra Universidad;Hombres;0;0;0;1;;;27/09/2020
2018;Zaragoza;Diplomado Ciencias Empresariales;Diplomatura o equivalente;Traslado a otra Universidad;Mujeres;0;0;0;2;;;27/09/2020
2018;Zaragoza;Doctorado: PD Bioquímica y biología molecular [RD 99/2011];Doctorado;Graduado;Hombres;4;0;0;0;3.69;;27/09/2020
2018;Zaragoza;Doctorado: PD Bioquímica y biología molecular [RD 99/2011];Doctorado;Graduado;Mujeres;10;0;0;0;3.90;;27/09/2020
2018;Zaragoza;Doctorado: PD Bioquímica y biología molecular [RD 99/2011];Doctorado;Incumple Régimen de permanencia;Mujeres;0;1;0;0;;;27/09/2020
2018;Zaragoza;Doctorado: PD Calidad, seguridad y tecnología de los alimentos [RD 99/2011];Doctorado;Abandono Voluntario;Mujeres;0;1;0;0;;;27/09/2020
2018;Zaragoza;Doctorado: PD Calidad, seguridad y tecnología de los alimentos [RD 99/2011];Doctorado;Graduado;Hombres;5;0;0;0;3.72;;27/09/2020
2018;Zaragoza;Doctorado: PD Calidad, seguridad y tecnología de los alimentos [RD 99/2011];Doctorado;Graduado;Mujeres;4;0;0;0;4.05;;27/09/2020
2018;Zaragoza;Doctorado: PD Calidad, seguridad y tecnología de los alimentos [RD 99/2011];Doctorado;Incumple Régimen de permanencia;Mujeres;0;4;0;0;;;27/09/2020
2018;Zaragoza;Doctorado: PD Ciencia analítica en química [RD 99/2011];Doctorado;Graduado;Hombres;2;0;0;0;4.45;;27/09/2020
2018;Zaragoza;Doctorado: PD Ciencia analítica en química [RD 99/2011];Doctorado;Graduado;Mujeres;4;0;0;0;3.53;;27/09/2020
2018;Zaragoza;Doctorado: PD Ciencias agrarias y del medio natural [RD 99/2011];Doctorado;Graduado;Hombres;2;0;0;0;4.12;;27/09/2020
