CURSO_ACADEMICO;LOCALIDAD;ESTUDIO;TIPO_ESTUDIO;TIPO_EGRESO;SEXO;ALUMNOS_GRADUADOS;ALUMNOS_INTERRUMPEN_ESTUDIOS;ALUMNOS_INTERRUMPEN_EST_ANO1;ALUMNOS_TRASLADAN_OTRA_UNIV;DURACION_MEDIA_GRADUADOS;TASA_EFICIENCIA;FECHA_ACTUALIZACION
2017;Huesca;Grado: Nutrición Humana y Dietética;Grado;Graduado;Mujeres;25;0;0;0;4.75;93.07;05/01/2020
2017;Huesca;Grado: Nutrición Humana y Dietética;Grado;Traslado a otra Universidad;Mujeres;0;0;0;1;;;05/01/2020
2017;Huesca;Grado: Odontología;Grado;Abandono Voluntario;Mujeres;0;1;0;0;;;05/01/2020
2017;Huesca;Grado: Odontología;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;2;2;0;;;05/01/2020
2017;Huesca;Grado: Odontología;Grado;Graduado;Hombres;8;0;0;0;5.50;98.31;05/01/2020
2017;Huesca;Grado: Odontología;Grado;Graduado;Mujeres;28;0;0;0;5.11;99.70;05/01/2020
2017;Huesca;Grado: Odontología;Grado;Traslado a otra Universidad;Hombres;0;0;0;2;;;05/01/2020
2017;Huesca;Grado: Odontología;Grado;Traslado a otra Universidad;Mujeres;0;0;0;3;;;05/01/2020
2017;Huesca;Máster: Dirección y planificación del turismo;Máster;Abandono Voluntario;Hombres;0;3;1;0;;;05/01/2020
2017;Huesca;Máster: Dirección y planificación del turismo;Máster;Abandono Voluntario;Mujeres;0;7;5;0;;;05/01/2020
2017;Huesca;Máster: Dirección y planificación del turismo;Máster;Graduado;Hombres;2;0;0;0;2.50;75.00;05/01/2020
2017;Huesca;Máster: Dirección y planificación del turismo;Máster;Graduado;Mujeres;8;0;0;0;2.50;83.77;05/01/2020
2017;Huesca;Máster: Estudios Avanzados sobre el Lenguaje, la Comunicación y sus Patologías;Máster;Abandono Voluntario;Mujeres;0;2;2;0;;;05/01/2020
2017;Huesca;Máster: Estudios Avanzados sobre el Lenguaje, la Comunicación y sus Patologías;Máster;Graduado;Hombres;1;0;0;0;1.00;100.00;05/01/2020
2017;Huesca;Máster: Estudios Avanzados sobre el Lenguaje, la Comunicación y sus Patologías;Máster;Graduado;Mujeres;11;0;0;0;1.00;100.00;05/01/2020
2017;Huesca;Máster: Evaluación y Entrenamiento Físico para la Salud;Máster;Abandono Voluntario;Hombres;0;1;1;0;;;05/01/2020
2017;Huesca;Máster: Evaluación y Entrenamiento Físico para la Salud;Máster;Abandono Voluntario;Mujeres;0;2;2;0;;;05/01/2020
2017;Huesca;Máster: Evaluación y Entrenamiento Físico para la Salud;Máster;Graduado;Hombres;8;0;0;0;1.00;100.00;05/01/2020
2017;Huesca;Máster: Evaluación y Entrenamiento Físico para la Salud;Máster;Graduado;Mujeres;2;0;0;0;1.00;100.00;05/01/2020
2017;Huesca;Máster: Ingeniería Agronómica;Máster;Graduado;Hombres;4;0;0;0;2.50;89.92;05/01/2020
2017;Huesca;Máster: Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport;Máster;Graduado;Hombres;13;0;0;0;1.54;95.47;05/01/2020
2017;Huesca;Máster: Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport;Máster;Graduado;Mujeres;8;0;0;0;1.12;100.00;05/01/2020
2017;Teruel;Grado: Administración y Dirección de Empresas;Grado;Abandono Voluntario;Hombres;0;8;4;0;;;05/01/2020
