CURSO_ACADEMICO;CENTRO;ESTUDIO;TIPO_ESTUDIO;ALUMNOS_MATRICULADOS;ALUMNOS_NUEVO_INGRESO;PLAZAS_OFERTADAS;ALUMNOS_GRADUADOS;ALUMNOS_ADAPTA_GRADO_MATRI;ALUMNOS_ADAPTA_GRADO_MATRI_NI;ALUMNOS_ADAPTA_GRADO_TITULADO;ALUMNOS_CON_RECONOCIMIENTO;ALUMNOS_MOVILIDAD_ENTRADA;ALUMNOS_MOVILIDAD_SALIDA;CREDITOS_MATRICULADOS;CREDITOS_RECONOCIDOS;DURACION_MEDIA_GRADUADOS;TASA_EXITO;TASA_RENDIMIENTO;TASA_EFICIENCIA;TASA_ABANDONO;TASA_GRADUACION;FECHA_ACTUALIZACION
2017;Facultad de Ciencias Sociales y Humanas de Teruel;5-Licenciado en Ciencias del Trabajo;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;05/01/2020
2017;Escuela Universitaria de Turismo de Zaragoza;6-Diplomado en Turismo;Diplomatura o equivalente;;;;2;;;0;2;;;;10.50;13.00;;;91.15;;;05/01/2020
2017;Facultad de Ciencias;5-Licenciado en Matemáticas;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;05/01/2020
2017;Facultad de Ciencias;2-Biología Molecular y Celular;Máster;18;16;30;17;0;0;0;1;;0;1020.00;24.00;1.29;98.82;98.24;97.16;0.00;100.00;05/01/2020
2017;Facultad de Ciencias;2-Física y Tecnologías Físicas;Máster;12;11;30;10;0;0;0;0;;1;660.00;0.00;1.00;100.00;97.14;100.00;0.00;100.00;05/01/2020
2017;Facultad de Filosofía y Letras;2-Gestión del Patrimonio Cultural;Máster;27;26;35;22;0;0;0;0;;0;1538.00;0.00;1.00;97.86;95.19;100.00;0.00;96.00;05/01/2020
2017;Facultad de Filosofía y Letras;2-Tec.Información Geográfica para Ordenación Territorio: Sig/Teled;Máster;28;25;25;19;0;0;0;0;;0;1478.50;0.00;1.12;98.29;93.07;97.94;0.00;86.36;05/01/2020
2017;Facultad de Ciencias de la Salud;2-Gerontología Social;Máster;40;38;36;38;0;0;0;0;;0;2264.00;0.00;1.19;100.00;98.94;98.67;2.70;97.30;05/01/2020
2017;Facultad de Ciencias Sociales y del Trabajo;2-Relaciones de Género;Máster;34;29;30;19;0;0;0;0;3;0;1812.00;0.00;1.11;98.51;87.42;97.94;13.79;75.86;05/01/2020
2017;Facultad de Economía y Empresa;2-Contabilidad y finanzas;Máster;23;19;30;12;0;0;0;0;;0;1156.00;0.00;1.00;97.30;87.20;100.00;5.88;76.47;05/01/2020
2017;Facultad de Economía y Empresa;2-Economía;Máster;11;9;30;7;0;0;0;0;1;0;531.00;0.00;1.00;100.00;81.92;100.00;12.50;87.50;05/01/2020
2017;Facultad de Medicina;2-Iniciación a la investigación en Medicina;Máster;75;60;60;67;0;0;0;60;;0;3601.00;300.00;1.09;100.00;95.14;97.50;5.17;89.66;05/01/2020
2017;Facultad de Veterinaria;2-Nutrición animal;Máster;21;20;30;0;0;0;0;1;2;0;1260.00;60.00;;100.00;100.00;;20.00;75.00;05/01/2020
2017;Escuela de Ingeniería y Arquitectura;2-Ingeniería biomédica;Máster;57;33;30;20;0;0;0;0;6;1;2351.00;0.00;1.94;99.59;94.57;95.40;0.00;96.15;05/01/2020
2017;Escuela de Ingeniería y Arquitectura;2-Ingeniería de sistemas e informática;Máster;;;;0;;;0;;;;;;;;;;;;05/01/2020
2017;Facultad de Empresa y Gestión Pública;2-Dirección y planificación del turismo;Máster;33;18;30;10;0;0;0;1;7;1;1311.00;9.00;2.50;85.71;65.73;81.78;5.88;64.71;05/01/2020
2017;Facultad de Ciencias;4-Movilidad para máster;Movilidad de entrada;3;0;;;0;0;;0;;0;49.00;0.00;;;;;;;05/01/2020
2017;Facultad de Filosofía y Letras;4-Movilidad para máster;Movilidad de entrada;3;0;;;0;0;;0;;0;69.00;0.00;;;;;;;05/01/2020
2017;Facultad de Veterinaria;4-Movilidad para máster;Movilidad de entrada;2;0;;;0;0;;0;;0;120.00;0.00;;;;;;;05/01/2020
2017;Escuela de Ingeniería y Arquitectura;4-Movilidad para máster;Movilidad de entrada;19;0;;;0;0;;0;;0;310.00;0.00;;;;;;;05/01/2020
2017;Facultad de Empresa y Gestión Pública;4-Movilidad para máster;Movilidad de entrada;7;0;;;0;0;;0;;0;441.00;0.00;;;;;;;05/01/2020
2017;Facultad de Ciencias;2-Materiales nanoestructurados para aplicaciones nanotecnológicas;Máster;14;14;25;13;0;0;0;0;1;0;840.00;0.00;1.00;100.00;98.33;100.00;0.00;92.86;05/01/2020
2017;Facultad de Filosofía y Letras;2-Traducción de textos especializados;Máster;4;0;;1;0;0;0;1;;0;24.00;54.00;;100.00;25.00;90.91;;;05/01/2020
2017;Escuela de Ingeniería y Arquitectura;2-Sistemas Mecánicos;Máster;;;;0;;;0;;;;;;;;;;;;05/01/2020
2017;Facultad de Economía y Empresa;2-Sociología de las Políticas Públicas y Sociales;Máster;20;16;25;14;0;0;0;0;3;0;1006.00;0.00;1.08;98.69;90.06;98.59;7.14;92.86;05/01/2020
2017;Facultad de Economía y Empresa;2-Unión Europea;Máster;2;0;;1;0;0;0;0;;0;24.00;0.00;3.00;100.00;50.00;71.43;;;05/01/2020
2017;Facultad de Derecho;2-Especialización e Investigación en Derecho;Máster;;;;0;;;0;;;;;;;;;;;;05/01/2020
2017;Facultad de Educación;2-Aprendizaje a lo largo de la vida: Iniciación a la investigación;Máster;31;18;40;16;0;0;0;3;;0;1207.00;59.00;1.22;98.39;80.94;94.44;15.38;61.54;05/01/2020
2017;Facultad de Filosofía y Letras;2-Ciencias de la Antigüedad;Máster;;;;0;;;0;;;;;;;;;;;;05/01/2020
2017;Facultad de Filosofía y Letras;2-Investigación y Estudios Avanzados en Historia;Máster;11;9;40;6;0;0;0;0;1;0;546.00;0.00;1.17;97.30;79.12;96.77;0.00;87.50;05/01/2020
2017;Facultad de Filosofía y Letras;2-Estudios Avanzados en Historia del Arte;Máster;12;9;35;6;0;0;0;1;;0;490.50;27.00;1.20;100.00;90.21;96.17;0.00;100.00;05/01/2020
